state_id,policy,random_seed,current_index,current_profile_id,candidate_count,pending_task_count,chosen_profile_id,chosen_rank,chosen_priority_score,chosen_seed_value,chosen_reachable_profile_count,chosen_reachable_pending_tasks,chosen_known_cold_start_ms,chosen_waiting_seconds,selection_metric,selection_reason,reachable_task_count,waiting_seconds,path_20_transition_time_ms,path_20_transition_count,path_20_cold_start_count,path_20_cluster_switch_count,path_20_reuse_hit_rate,path_20_median_transition_ms,path_20_p95_transition_ms,path_50_transition_time_ms,path_50_transition_count,path_50_cold_start_count,path_50_cluster_switch_count,path_50_reuse_hit_rate,path_50_median_transition_ms,path_50_p95_transition_ms,full_transition_time_ms,full_transition_count,full_cold_start_count,full_cluster_switch_count,full_reuse_hit_rate,full_median_transition_ms,full_p95_transition_ms,current_to_seed_ms
snapshot_pos_01,random,11,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/enzymejs__enzyme.61e1b47c,30,8544.79701,,30,,2278.634877,0.0,,random_choice,30,0.0,,,,,,,,,,,,,,,,,,,,,,129364.053864
snapshot_pos_01,random,11,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/enzymejs__enzyme.61e1b47c,30,8544.79701,,30,,2278.634877,0.0,,random_choice,30,0.0,,,,,,,,,,,,,,,,,,,,,,129364.053864
snapshot_pos_01,random,11,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/enzymejs__enzyme.61e1b47c,30,8544.79701,,30,,2278.634877,0.0,,random_choice,30,0.0,,,,,,,,,,,,,,,,,,,,,,129364.053864
snapshot_pos_01,random,23,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/trpc__trpc.2f40ba93,46,67.426494,,6,,123.29248,0.0,,random_choice,6,0.0,,,,,,,,,,,,,,,,,,,,,,302018.625378
snapshot_pos_01,random,23,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/trpc__trpc.2f40ba93,46,67.426494,,6,,123.29248,0.0,,random_choice,6,0.0,,,,,,,,,,,,,,,,,,,,,,302018.625378
snapshot_pos_01,random,23,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/trpc__trpc.2f40ba93,46,67.426494,,6,,123.29248,0.0,,random_choice,6,0.0,,,,,,,,,,,,,,,,,,,,,,302018.625378
snapshot_pos_01,random,37,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/bpampuch__pdfmake.719e7314,51,0.0,,0,,118.99691,0.0,,random_choice,0,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_01,random,37,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/bpampuch__pdfmake.719e7314,51,0.0,,0,,118.99691,0.0,,random_choice,0,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_01,random,37,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/bpampuch__pdfmake.719e7314,51,0.0,,0,,118.99691,0.0,,random_choice,0,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_01,random,53,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/svg__svgo.c06d8f68,7,11395.71106,,42,,405.944365,0.0,,random_choice,42,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_01,random,53,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/svg__svgo.c06d8f68,7,11395.71106,,42,,405.944365,0.0,,random_choice,42,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_01,random,53,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/svg__svgo.c06d8f68,7,11395.71106,,42,,405.944365,0.0,,random_choice,42,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_01,random,71,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/webpack__webpack.24e3c2d2,10,11395.71106,,42,,405.944365,0.0,,random_choice,42,0.0,,,,,,,,,,,,,,,,,,,,,,123601.223125
snapshot_pos_01,random,71,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/webpack__webpack.24e3c2d2,10,11395.71106,,42,,405.944365,0.0,,random_choice,42,0.0,,,,,,,,,,,,,,,,,,,,,,123601.223125
snapshot_pos_01,random,71,,swesmith/advplyr__audiobookshelf.626596b1,63,63,swesmith/webpack__webpack.24e3c2d2,10,11395.71106,,42,,405.944365,0.0,,random_choice,42,0.0,,,,,,,,,,,,,,,,,,,,,,123601.223125
snapshot_pos_16,random,11,,swesmith/NativeScript__NativeScript.3d6a4392,48,48,swesmith/bpampuch__pdfmake.719e7314,51,0.0,,0,,118.99691,0.0,,random_choice,0,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
snapshot_pos_16,random,11,,swesmith/NativeScript__NativeScript.3d6a4392,48,48,swesmith/bpampuch__pdfmake.719e7314,51,0.0,,0,,118.99691,0.0,,random_choice,0,0.0,,,,,,,,,,,,,,,,,,,,,,212417.003664
